node; dblp_id; gender; phd; phd_rank; job_rank; excel_index; name; gs_id; followup_title; job; year_of_job; followup_department; followup_location
11; Helmy:Ahmed; M; University of Southern California; 26.17; 94.94; 991; Ahmed Helmy; QcO9p8AAAAAJ; no_followup; University of Florida; 1999; no_followup; no_followup
12; Barr:Alan_H=; M; Rensselaer Polytechnic Institute; 79.68; 5.24; 258; Alan Barr; nan; no_followup; California Institute of Technology; 1984; no_followup; no_followup
13; Hu:Alan_J=; M; Stanford University; 2.23; 51.75; 838; Alan Hu; 6-JE5-cAAAAJ; no_followup; University of British Columbia; 1996; no_followup; no_followup
14; Selman:Alan_L=; M; Pennsylvania State University; 41.22; 82.16; 2253; Alan L. Selman; 8ExiKC0AAAAJ; no_followup; State University of New York, Buffalo; 1972; no_followup; no_followup
15; Sprague:Alan_P=; M; Ohio State University; 42.17; 153.44; 1800; Alan Sprague; nan; no_followup; University of Alabama, Birmingham; 1988; no_followup; no_followup
16; Sussman:Alan; M; Carnegie Mellon University; 9.28; 28.65; 1254; Alan Sussman; 4Ts9jNQAAAAJ; no_followup; University of Maryland, College Park; 2002; no_followup; no_followup
17; Pelin:Alex; M; University of Pennsylvania; 15.31; 146.92; 797; Alex Pelin; nan; no_followup; Florida International University; 1979; no_followup; no_followup
18; Aiken:Alexander; M; Cornell University; 8.29; 2.23; 2457; Alex Aiken; 3vKjkoQAAAAJ; no_followup; Stanford University; 1993; no_followup; no_followup
19; Borgida:Alexander; M; University of Toronto; 24.79; 40.46; 2186; Alex Borgida; S5AaMfgAAAAJ; no_followup; Rutgers University; 1981; no_followup; no_followup
20; Russell:Alexander; M; MIT; 3.52; 108.32; 550; Alexander Russell; EsJmgf4AAAAJ; no_followup; University of Connecticut; 1999; no_followup; no_followup
21; Maciel:Alexis; M; McGill University; 69.84; 137.31; 340; Alexis Maciel; nan; no_followup; Clarkson University; 1997; no_followup; no_followup
22; Hurson:Ali_R=; M; University of Central Florida; 81.51; 113.87; 1444; Ali Hurson; nan; no_followup; Missouri University of Science and Technology; 1981; no_followup; no_followup
23; Malony:Allen_D=; M; University of Illinois, Urbana Champaign; 13.43; 54.86; 1512; Allen D. Malony; nan; no_followup; University of Oregon; 1992; no_followup; no_followup
24; Parrish:Allen_S=; M; Ohio State University; 42.17; 186.81; 743; Allen Parrish; bXTLw2MAAAAJ; no_followup; University of Alabama, Tuscaloosa; 1990; no_followup; no_followup
25; Choudhary:Alok_N=; M; University of Illinois, Urbana Champaign; 13.43; 44.47; 1656; Alok N. Choudhary; q0nuNrEAAAAJ; no_followup; Northwestern University; 1989; no_followup; no_followup
26; Singh:Ambuj_K=; M; University of Texas, Austin; 19.44; 56.76; 294; Ambuj K. Singh; nan; no_followup; UC Santa Barbara; 1989; no_followup; no_followup
27; Vahdat:Amin; M; UC Berkeley; 2.31; 27.93; 276; Amin Vahdat; r3aWCRUAAAAJ; no_followup; UC San Diego; 1998; no_followup; no_followup
28; Chakrabarti:Amit; M; Princeton University; 9.32; 37.9; 635; Amit Chakrabarti; LjP106QAAAAJ; no_followup; Dartmouth College; 2003; no_followup; no_followup
29; Mali:Amol_Dattatraya; M; Arizona State University; 108.72; 102.07; 1774; Amol D. Mali; nan; no_followup; University of Wisconsin, Milwaukee; 1999; no_followup; no_followup
30; Sabry:Amr; M; Rice University; 16.44; 116.75; 1012; Amr A. Sabry; dYGSG4EAAAAJ; no_followup; Indiana University; 1995; no_followup; no_followup
31; McGovern:Amy; F; University of Massachusetts, Amherst; 26.95; 116.24; 2075; Amy McGovern; y_4QsYAAAAAJ; no_followup; University of Oklahoma; 2005; no_followup; no_followup
32; Grama:Ananth; M; University of Minnesota, Minneapolis; 38.94; 38.27; 1996; Ananth Grama; bpsZlEQAAAAJ; no_followup; Purdue University; 1996; no_followup; no_followup
33; Arpaci=Dusseau:Andrea_C=; F; UC Berkeley; 2.31; 14.12; 684; Andrea Arpaci-Dusseau; 8VkvOEEAAAAJ; no_followup; University of Wisconsin, Madison; 2000; no_followup; no_followup
34; Richa:Andr=eacute=a_W=; F; Carnegie Mellon University; 9.28; 108.72; 18; Andrea W. Richa; 1LUuMc8AAAAJ; no_followup; Arizona State University; 1998; no_followup; no_followup
35; Kahng:Andrew_B=; M; UC San Diego; 27.93; 27.93; 270; Andrew B. Kahng; zCO_h3cAAAAJ; no_followup; UC San Diego; 1989; no_followup; no_followup
36; Yao:Andrew_Chi=Chih; M; University of Illinois, Urbana Champaign; 13.43; 9.32; 1982; Andrew Yao; nan; no_followup; Princeton University; 1975; no_followup; no_followup
37; Tolmach:Andrew_P=; M; Princeton University; 9.32; 113.61; 1952; Andrew P. Tolmach; nan; no_followup; Portland State University; 1992; no_followup; no_followup
38; Rau=Chaplin:Andrew; M; Carleton University; 101.73; 139.97; 608; Andrew Rau-Chaplin; -PvfVhgAAAAJ; no_followup; Dalhousie University; 1994; no_followup; no_followup
39; Miner:Andrew_S=; M; College of William and Mary; 75.2; 92.45; 1058; Andrew S. Miner; nan; no_followup; Iowa State University; 2000; no_followup; no_followup
40; Appel:Andrew_W=; M; Carnegie Mellon University; 9.28; 9.32; 1966; Andrew Appel; wC_ntLYAAAAJ; no_followup; Princeton University; 1986; no_followup; no_followup
41; Keromytis:Angelos_D=; M; University of Pennsylvania; 15.31; 22.53; 486; Angelos Keromytis; mncyWbcAAAAJ; no_followup; Columbia University; 2001; no_followup; no_followup
42; Gokhale:Aniruddha_S=; M; Washington University, St. Louis; 46.4; 92.5; 2217; Aniruddha S. Gokhale; nan; no_followup; Vanderbilt University; 2003; no_followup; no_followup
43; Arora:Anish; M; University of Texas, Austin; 19.44; 42.17; 1745; Anish Arora; Bn0zSwQAAAAJ; no_followup; Ohio State University; 1992; no_followup; no_followup
44; Gates:Ann_Q=; F; New Mexico State University; 137.49; 142.2; 598; Ann Q. Gates; nan; no_followup; University of Texas, El Paso; 1994; no_followup; no_followup
45; Lubiw:Anna; F; University of Toronto; 24.79; 67.81; 2397; Anna Lubiw; XO7YvFwAAAAJ; no_followup; University of Waterloo; 1987; no_followup; no_followup
46; Condon:Anne; F; University of Washington; 11.06; 51.75; 830; Anne Condon; SO_j4zwAAAAJ; no_followup; University of British Columbia; 1987; no_followup; no_followup
47; Rogers:Anne; F; Cornell University; 8.29; 18.82; 323; Anne Rogers; TOmDIqIAAAAJ; no_followup; University of Chicago; 1990; no_followup; no_followup
48; Hosking:Antony_L=; M; University of Massachusetts, Amherst; 26.95; 38.27; 1997; Tony Hosking; 5LINiuEAAAAJ; no_followup; Purdue University; 1995; no_followup; no_followup
49; Basu:Anup; M; University of Maryland, College Park; 28.65; 86.24; 755; Anup Basu; x8Nn-jQAAAAJ; no_followup; University of Alberta; 1990; no_followup; no_followup
50; Joshi:Anupam; M; Purdue University; 38.27; 134.13; 1960; Anupam Joshi; sJ7wlksAAAAJ; no_followup; University of Maryland, Baltimore County; 1996; no_followup; no_followup
51; Jayasumana:Anura_P=; M; Michigan State University; 66.24; 124.6; 463; Anura P. Jayasumana; nan; no_followup; Colorado State University; 1985; no_followup; no_followup
52; Oldehoeft:Arthur_E=; M; Purdue University; 38.27; 92.45; 1067; Arthur E. Oldehoeft; nan; no_followup; Iowa State University; 1970; no_followup; no_followup
53; Agrawala:Ashok_K=; M; Harvard University; 6.12; 28.65; 1229; Ashok Agrawala; nan; no_followup; University of Maryland, College Park; 1971; no_followup; no_followup
54; Memon:Atif_M=; M; University of Pittsburgh; 46.81; 28.65; 1244; Atif Memon; jJPSj0IAAAAJ; no_followup; University of Maryland, College Park; 2001; no_followup; no_followup
55; Prakash:Atul; M; UC Berkeley; 2.31; 29.37; 1398; Atul Prakash; kIkHa2IAAAAJ; no_followup; University of Michigan; 1989; no_followup; no_followup
56; Bestavros:Azer; M; Harvard University; 6.12; 51.73; 54; Azer Bestavros; S5B0QmMAAAAJ; no_followup; Boston University; 1991; no_followup; no_followup
57; Saunders:B=_David; M; University of Wisconsin, Madison; 14.12; 87.66; 955; B. David Saunders; U-0PM_cAAAAJ; no_followup; University of Delaware; 1975; no_followup; no_followup
58; Choi:Baek=Young; F; University of Minnesota, Minneapolis; 38.94; 138.72; 1374; Baek-Young Choi; Ce0nO6wAAAAJ; no_followup; University of Missouri, Kansas City; 2005; no_followup; no_followup
59; Liskov:Barbara; F; Stanford University; 2.23; 3.52; 1208; Barbara Liskov; nan; no_followup; MIT; 1972; no_followup; no_followup
60; Bose:Bella; M; Southern Methodist University; 80.22; 127.72; 1836; Bella Bose; nan; no_followup; Oregon State University; 1980; no_followup; no_followup
61; Shneiderman:Ben; M; State University of New York, Stony Brook; 36.01; 28.65; 1252; Ben Shneiderman; h4i4fh8AAAAJ; no_followup; University of Maryland, College Park; 1973; no_followup; no_followup
62; Zhao:Ben_Y=; M; UC Berkeley; 2.31; 56.76; 298; Ben Y. Zhao; cYReSuEAAAAJ; no_followup; UC Santa Barbara; 2004; no_followup; no_followup
63; Watson:Benjamin; M; Georgia Tech; 39.69; 81.9; 1596; Ben Watson; yfYYAMQAAAAJ; no_followup; North Carolina State University; 1997; no_followup; no_followup
64; Liu:Benyuan; M; University of Massachusetts, Amherst; 26.95; 151.46; 402; Benyuan Liu; s2n1-HMAAAAJ; no_followup; University of Massachusetts, Lowell; 2004; no_followup; no_followup
65; Chazelle:Bernard; M; Yale University; 9.98; 9.32; 1972; Bernard Chazelle; C1VwgssAAAAJ; no_followup; Princeton University; 1982; no_followup; no_followup
66; Hamann:Bernd; M; Arizona State University; 108.72; 61.39; 159; Bernd Hamann; aNRlTa8AAAAJ; no_followup; UC Davis; 1991; no_followup; no_followup
67; Cheng:Betty_H=_C=; F; University of Illinois, Urbana Champaign; 13.43; 66.24; 1336; Betty H.C. Cheng; qABYFOIAAAAJ; no_followup; Michigan State University; 1990; no_followup; no_followup
68; Narahari:Bhagirath; M; University of Pennsylvania; 15.31; 87.19; 926; Bhagirath Narahari; nan; no_followup; George Washington University; 1987; no_followup; no_followup
69; DasGupta:Bhaskar; M; University of Minnesota, Minneapolis; 38.94; 79.33; 1114; Bhaskar DasGupta; fGcKnpIAAAAJ; no_followup; University of Illinois, Chicago; 1997; no_followup; no_followup
70; Bhattacharya:Binay_K=; M; McGill University; 69.84; 78.97; 2327; Binay Bhattacharya; nan; no_followup; Simon Fraser University; 1982; no_followup; no_followup
71; Mukherjee:Biswanath; M; University of Washington; 11.06; 61.39; 165; Biswanath Mukherjee; ytXtLjkAAAAJ; no_followup; UC Davis; 1987; no_followup; no_followup
72; Weems:Bob_P=; M; Northwestern University; 44.47; 106.62; 508; Bob P. Weems; nan; no_followup; University of Texas, Arlington; 1985; no_followup; no_followup
73; Dixon:Brandon; M; Princeton University; 9.32; 186.81; 739; Brandon Dixon; nan; no_followup; University of Alabama, Tuscaloosa; 1994; no_followup; no_followup
74; Murrill:Branson_W=; M; College of William and Mary; 75.2; 139.99; 2236; Branson Murrill; nan; no_followup; Virginia Commonwealth University; 1991; no_followup; no_followup
75; Curless:Brian; M; Stanford University; 2.23; 11.06; 2296; Brian Curless; tlh8i7gAAAAJ; no_followup; University of Washington; 1998; no_followup; no_followup
76; Bailey:Brian_P=; M; University of Minnesota, Minneapolis; 38.94; 13.43; 329; Brian Bailey; 1AVOLzMAAAAJ; no_followup; University of Illinois, Urbana Champaign; 2002; no_followup; no_followup
77; Roark:Brian; M; Brown University; 21.92; 108.71; 1825; Brian E. Roark; xPjpSs4AAAAJ; no_followup; Oregon Health and Science University; 2004; no_followup; no_followup
78; Draper:Bruce_A=; M; University of Massachusetts, Amherst; 26.95; 124.6; 451; Bruce A. Draper; jTiRFi8AAAAJ; no_followup; Colorado State University; 1996; no_followup; no_followup
79; Kapron:Bruce_M=; M; University of Toronto; 24.79; 137.87; 1723; Bruce M. Kapron; CCXustMAAAAJ; no_followup; University of Victoria; 1994; no_followup; no_followup
80; Childers:Bruce_R=; M; University of Virginia; 38.11; 46.81; 1907; Bruce Childers; nan; no_followup; University of Pittsburgh; 2000; no_followup; no_followup
81; Char:Bruce_W=; M; UC Berkeley; 2.31; 127.37; 709; Bruce W. Char; SMGY4jUAAAAJ; no_followup; Drexel University; 1981; no_followup; no_followup
82; Weide:Bruce_W=; M; Carnegie Mellon University; 9.28; 42.17; 1766; Bruce W. Weide; nan; no_followup; Ohio State University; 1978; no_followup; no_followup
83; Morse:Bryan_S=; M; Brigham Young University; 166.53; 166.53; 102; Bryan S. Morse; nan; no_followup; Brigham Young University; 1994; no_followup; no_followup
84; Rosenberg:Burton; M; Princeton University; 9.32; 120.24; 1295; Burton Rosenberg; nan; no_followup; University of Miami; 1992; no_followup; no_followup
85; Ramamurthy:Byrav; M; UC Davis; 61.39; 130.66; 2017; Byrav Ramamurthy; Moj2TLMAAAAJ; no_followup; University of Nebraska, Lincoln; 1998; no_followup; no_followup
86; Martin:C=_Dianne; F; George Washington University; 87.19; 87.19; 925; Dianne Martin; nan; no_followup; George Washington University; 1987; no_followup; no_followup
87; Overstreet:C=_Michael; M; Virginia Tech; 112.4; 142.05; 1813; C. Michael Overstreet; nan; no_followup; Old Dominion University; 1981; no_followup; no_followup
88; Ribbens:Calvin_J=; M; Purdue University; 38.27; 112.4; 2276; Calvin J. Ribbens; gs_WpWIAAAAJ; no_followup; Virginia Tech; 1987; no_followup; no_followup
89; Hewitt:Carl; M; MIT; 3.52; 3.52; 1222; Carl Hewitt; nan; no_followup; MIT; 1971; no_followup; no_followup
90; Chang:Carl_K=; M; Northwestern University; 44.47; 92.45; 1052; Carl K. Chang; 0IHc9DUAAAAJ; no_followup; Iowa State University; 1984; no_followup; no_followup
91; Brodley:Carla_E=; F; University of Massachusetts, Amherst; 26.95; 146.5; 68; Carla E. Brodley; sQ8u6h4AAAAJ; no_followup; Tufts University; 1994; no_followup; no_followup
92; Ellis:Carla_Schlatter; F; University of Washington; 11.06; 30.5; 734; Carla Ellis; nan; no_followup; Duke University; 1978; no_followup; no_followup
93; Tomasi:Carlo; M; Carnegie Mellon University; 9.28; 30.5; 732; Carlo Tomasi; xViwZ0QAAAAJ; no_followup; Duke University; 1991; no_followup; no_followup
94; Krintz:Chandra; F; UC San Diego; 27.93; 56.76; 293; Chandra Krintz; nan; no_followup; UC Santa Barbara; 2001; no_followup; no_followup
95; Bajaj:Chandrajit_L=; M; Cornell University; 8.29; 19.44; 521; Chandrajit Bajaj; gyL3CZ0AAAAJ; no_followup; University of Texas, Austin; 1984; no_followup; no_followup
96; Lu:Chang=Tien; M; University of Minnesota, Minneapolis; 38.94; 112.4; 2270; Chang-Tien Lu; TJI8JW0AAAAJ; no_followup; Virginia Tech; 2002; no_followup; no_followup
97; Leiserson:Charles_E=; M; Carnegie Mellon University; 9.28; 3.52; 1207; Charles Leiserson; gWBoNCsAAAAJ; no_followup; MIT; 1981; no_followup; no_followup
98; Colbourn:Charles_J=; M; University of Toronto; 24.79; 108.72; 8; Charles J. Colbourn; nan; no_followup; Arizona State University; 1980; no_followup; no_followup
99; Clarke:Charles_L=_A=; M; University of Waterloo; 67.81; 67.81; 2378; Charles L. A. Clarke; TkVleDIAAAAJ; no_followup; University of Waterloo; 1996; no_followup; no_followup
100; Dyer:Charles_R=; M; University of Maryland, College Park; 28.65; 14.12; 691; Charles Dyer; VizsSmEAAAAJ; no_followup; University of Wisconsin, Madison; 1979; no_followup; no_followup
101; Rackoff:Charles; M; MIT; 3.52; 24.79; 2177; Charles Rackoff; nan; no_followup; University of Toronto; 1974; no_followup; no_followup
102; Martel:Charles_U=; M; UC Berkeley; 2.31; 61.39; 161; Charles U. Martel; nan; no_followup; UC Davis; 1980; no_followup; no_followup
103; Anderson:Charles_W=; M; University of Massachusetts, Amherst; 26.95; 124.6; 448; Charles W. Anderson; plBNA0EAAAAJ; no_followup; Colorado State University; 1991; no_followup; no_followup
104; Tseng:Chau=Wen; M; Rice University; 16.44; 28.65; 1255; Chau-Wen Tseng; nan; no_followup; University of Maryland, College Park; 1995; no_followup; no_followup
105; Yap:Chee=Keng; M; Yale University; 9.98; 18.23; 1485; Chee Yap; zO6kmIAAAAAJ; no_followup; New York University; 1979; no_followup; no_followup
106; Li_0001:Chen; M; Stanford University; 2.23; 37.36; 231; Chen Li; nan; no_followup; UC Irvine; 2001; no_followup; no_followup
107; Ravishankar:Chinya_V=; M; University of Wisconsin, Madison; 14.12; 71.14; 244; Chinya V. Ravishankar; nan; no_followup; UC Riverside; 1986; no_followup; no_followup
108; Baral:Chitta; M; University of Maryland, College Park; 28.65; 108.72; 2; Chitta Baral; 9Yd716IAAAAJ; no_followup; Arizona State University; 1991; no_followup; no_followup
109; Clifton:Chris; M; Princeton University; 9.32; 38.27; 1993; Chris Clifton; C_cWJIkAAAAJ; no_followup; Purdue University; 1991; no_followup; no_followup
110; Shelton:Christian_R=; M; MIT; 3.52; 71.14; 243; Christian R. Shelton; 9xbbxGcAAAAJ; no_followup; UC Riverside; 2003; no_followup; no_followup
111; Kozyrakis:Christoforos_E=; M; UC Berkeley; 2.31; 2.23; 2472; Christos Kozyrakis; G2EJz5kAAAAJ; no_followup; Stanford University; 2002; no_followup; no_followup
112; Bregler:Christoph; M; UC Berkeley; 2.31; 18.23; 1475; Christoph Bregler; nan; no_followup; New York University; 1999; no_followup; no_followup
113; Wilson:Christopher_B=; M; University of Toronto; 24.79; 54.86; 1515; Christopher B. Wilson; nan; no_followup; University of Oregon; 1984; no_followup; no_followup
114; Gill:Christopher_D=; M; Washington University, St. Louis; 46.4; 46.4; 2346; Christopher D. Gill; nan; no_followup; Washington University, St. Louis; 2001; no_followup; no_followup
115; Hundhausen:Christopher_D=; M; University of Oregon; 54.86; 83.35; 2323; Chris D. Hundhausen; jdmx_E8AAAAJ; no_followup; Washington State University, Pullman; 2000; no_followup; no_followup
116; League:Christopher; M; Yale University; 9.98; 168.42; 1173; Christopher League; nan; no_followup; Long Island University; 2002; no_followup; no_followup
117; Brown:Christopher_M=; M; University of Chicago; 18.82; 25.64; 2103; Chris Brown; nan; no_followup; University of Rochester; 1975; no_followup; no_followup
118; Faloutsos:Christos; M; University of Toronto; 24.79; 9.28; 183; Christos Faloutsos; nd8lQQIAAAAJ; no_followup; Carnegie Mellon University; 1985; no_followup; no_followup
119; Qiao:Chunming; M; University of Pittsburgh; 46.81; 82.16; 2250; Chunming Qiao; oS3XMbsAAAAJ; no_followup; State University of New York, Buffalo; 1993; no_followup; no_followup
120; Verbrugge:Clark; M; McGill University; 69.84; 69.84; 1285; Clark Verbrugge; nan; no_followup; McGill University; 2001; no_followup; no_followup
121; Shaffer:Clifford_A=; M; University of Maryland, College Park; 28.65; 112.4; 2279; Cliff Shaffer; v0tJmyYAAAAJ; no_followup; Virginia Tech; 1987; no_followup; no_followup
122; Kruskal:Clyde_P=; M; New York University; 18.23; 28.65; 1243; Clyde Kruskal; nan; no_followup; University of Maryland, College Park; 1981; no_followup; no_followup
123; Coutras:Constantine; M; Illinois Institute of Technology; 117.72; 182.16; 1866; Constantine Coutras; nan; no_followup; Pace University; 2000; no_followup; no_followup
124; Flanagan:Cormac; M; Rice University; 16.44; 79.49; 307; Cormac Flanagan; XkiApd4AAAAJ; no_followup; UC Santa Cruz; 2003; no_followup; no_followup
125; Boutilier:Craig; M; University of Toronto; 24.79; 24.79; 2148; Craig Boutilier; cXkm3rsAAAAJ; no_followup; University of Toronto; 1991; no_followup; no_followup
126; Irvine:Cynthia_E=; F; Case Western Reserve University; 70.82; 142.23; 1494; Cynthia E. Irvine; nan; no_followup; Naval Postgraduate School; 1995; no_followup; no_followup
127; Schoenefeld:Dale_A=; M; University of Iowa; 87.49; 164.68; 1677; Dale A. Schoenefeld; nan; no_followup; University of Tulsa; 1976; no_followup; no_followup
128; Boneh:Dan; M; Princeton University; 9.32; 2.23; 2459; Dan Boneh; MwLqCs4AAAAJ; no_followup; Stanford University; 1998; no_followup; no_followup
129; Gusfield:Dan; M; UC Berkeley; 2.31; 61.39; 158; Daniel M. Gusfield; VoAHydgAAAAJ; no_followup; UC Davis; 1980; no_followup; no_followup
130; Moldovan:Dan_I=; M; Columbia University; 22.53; 125.87; 571; Dan I. Moldovan; nan; no_followup; University of Texas, Dallas; 1979; no_followup; no_followup
131; Ballard:Dana_H=; M; UC Irvine; 37.36; 19.44; 522; Dana Ballard; 67aYFTQAAAAJ; no_followup; University of Texas, Austin; 1975; no_followup; no_followup
132; Spielman:Daniel_A=; M; MIT; 3.52; 9.98; 2530; Daniel Spielman; L82mYv8AAAAJ; no_followup; Yale University; 1996; no_followup; no_followup
133; Atkins:Daniel_E=; M; University of Illinois, Urbana Champaign; 13.43; 29.37; 1384; Daniel Atkins; nan; no_followup; University of Michigan; 1970; no_followup; no_followup
134; Berry:Daniel_M=; M; Brown University; 21.92; 67.81; 2374; Daniel M. Berry; nan; no_followup; University of Waterloo; 1972; no_followup; no_followup
135; Moss=eacute=:Daniel; M; University of Maryland, College Park; 28.65; 46.81; 1917; Daniel Mosse; O1FZe5EAAAAJ; no_followup; University of Pittsburgh; 1993; no_followup; no_followup
136; Lopresti:Daniel_P=; M; Princeton University; 9.32; 76.47; 1153; Daniel P. Lopresti; nan; no_followup; Lehigh University; 1986; no_followup; no_followup
137; Hirschberg:Daniel_S=; M; Princeton University; 9.32; 37.36; 227; Dan Hirschberg; nan; no_followup; UC Irvine; 1975; no_followup; no_followup
138; Watson:Daniel_W=; M; Purdue University; 38.27; 173.75; 2207; Daniel W. Watson; nan; no_followup; Utah State University; 1993; no_followup; no_followup
139; Zappala:Daniel; M; University of Southern California; 26.17; 166.53; 112; Daniel M. A. Zappala; Q9DsCL4AAAAJ; no_followup; Brigham Young University; 1997; no_followup; no_followup
140; Koller:Daphne; F; Stanford University; 2.23; 2.23; 2471; Daphne Koller; 5Iqe53IAAAAJ; no_followup; Stanford University; 1995; no_followup; no_followup
141; Stefanovic:Darko; M; University of Massachusetts, Amherst; 26.95; 81.65; 1564; Darko Stefanovic; hd6nAfsAAAAJ; no_followup; University of New Mexico; 2000; no_followup; no_followup
142; Long:Darrell_D=_E=; M; UC San Diego; 27.93; 79.49; 309; Darrell Long; PqdLgQ0AAAAJ; no_followup; UC Santa Cruz; 1988; no_followup; no_followup
143; Dampier:David_A=; M; Naval Postgraduate School; 142.23; 146.44; 1429; David A. Dampier; nan; no_followup; Mississippi State University; 2000; no_followup; no_followup
144; Gustafson:David_A=; M; University of Wisconsin, Madison; 14.12; 109.31; 1100; David A. Gustafson; nan; no_followup; Kansas State University; 1977; no_followup; no_followup
145; Schmidt:David_A=; M; Kansas State University; 109.31; 109.31; 1108; David A. Schmidt; nan; no_followup; Kansas State University; 1984; no_followup; no_followup
146; Avis:David; M; Stanford University; 2.23; 69.84; 1267; David Avis; nan; no_followup; McGill University; 1977; no_followup; no_followup
147; Whalley:David_B=; M; University of Virginia; 38.11; 74.98; 823; David Whalley; bH9h9x4AAAAJ; no_followup; Florida State University; 1990; no_followup; no_followup
148; Cordes:David; M; Louisiana State University; 102.17; 186.81; 738; David Cordes; nan; no_followup; University of Alabama, Tuscaloosa; 1988; no_followup; no_followup
149; Breen:David_E=; M; Rensselaer Polytechnic Institute; 79.68; 127.37; 707; David E. Breen; nan; no_followup; Drexel University; 2003; no_followup; no_followup
150; Culler:David_E=; M; MIT; 3.52; 2.31; 115; David Culler; urTiL7QAAAAJ; no_followup; UC Berkeley; 1989; no_followup; no_followup
151; McAllister:David_F=; M; University of North Carolina, Chapel Hill; 29.55; 81.9; 1591; David F. McAllister; nan; no_followup; North Carolina State University; 1972; no_followup; no_followup
152; Kirkpatrick:David_G=; M; University of Toronto; 24.79; 51.75; 840; David Kirkpatrick; nan; no_followup; University of British Columbia; 1975; no_followup; no_followup
153; Novick:David_G=; M; University of Oregon; 54.86; 142.2; 600; David G. Novick; XfQ7rDoAAAAJ; no_followup; University of Texas, El Paso; 1989; no_followup; no_followup
154; Laidlaw:David_H=; M; California Institute of Technology; 5.24; 21.92; 143; David H. Laidlaw; GIle-VwAAAAJ; no_followup; Brown University; 1998; no_followup; no_followup
155; Du:David_Hung=Chang; M; University of Washington; 11.06; 38.94; 1301; David Hung-Chang Du; nan; no_followup; University of Minnesota, Minneapolis; 1981; no_followup; no_followup
156; Crandall:David_J=; M; Cornell University; 8.29; 116.75; 1018; David J. Crandall; 8bQRH5YAAAAJ; Associate Professor; Indiana University; 2010; Informatics and Computing; Indiana University
157; Fleet:David_J=; M; University of Toronto; 24.79; 24.79; 2159; David J. Fleet; njOmQFsAAAAJ; no_followup; University of Toronto; 1990; no_followup; no_followup
158; Kriegman:David_J=; M; Stanford University; 2.23; 27.93; 272; David Kriegman; EqetexsAAAAJ; no_followup; UC San Diego; 1990; no_followup; no_followup
159; Taylor:David_J=; M; University of Waterloo; 67.81; 67.81; 2409; David J. Taylor; nan; no_followup; University of Waterloo; 1977; no_followup; no_followup
160; Lowenthal:David_K=; M; University of Arizona; 40.57; 40.57; 784; David Lowenthal; mhKUSRMAAAAJ; no_followup; University of Arizona; 1996; no_followup; no_followup
161; Kotz:David; M; Duke University; 30.5; 37.9; 641; David F. Kotz; w_Q7iBoAAAAJ; no_followup; Dartmouth College; 1991; no_followup; no_followup
162; Dill:David_L=; M; Carnegie Mellon University; 9.28; 2.23; 2462; David Dill; uy8T6BYAAAAJ; no_followup; Stanford University; 1987; no_followup; no_followup
163; Waltz:David_L=; M; MIT; 3.52; 22.53; 492; David Waltz; nan; no_followup; Columbia University; 1973; no_followup; no_followup
164; Brooks:David_M=; M; Princeton University; 9.32; 6.12; 960; David Brooks; vXHA_XYAAAAJ; no_followup; Harvard University; 2002; no_followup; no_followup
165; Chelberg:David_M=; M; Stanford University; 2.23; 150.08; 1780; David Chelberg; nan; no_followup; Ohio University; 1989; no_followup; no_followup
